"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,1.0,0.0,0.9999990329765598,0.999998956515371,0.0120708395,3.946522519890136
1000,1.0,0.0,0.9999990327924955,0.9999989952999031,0.0170907385,2.146625258399798
1500,1.0,0.0,0.9999986048358712,0.9999985838939851,0.022378671,1.1684747893443546
2000,1.0,0.0,0.9999990311089382,0.9999990111872041,0.032635812,1.011928851253881
2500,1.0,0.0,0.9999992049593953,0.999999194384037,0.046508498999999995,0.905096679918781
3000,1.0,0.0,0.9999993910524876,0.9999993847052258,0.0535893435,0.8262364471909154
3500,1.0,0.0,0.9999994470534465,0.9999994401810803,0.056124181499999995,0.7649463099740119
4000,1.0,0.0,0.9999995437579532,0.999999537656613,0.06503312850000001,0.7155417527999327
4500,1.0,0.0,0.9999995738356495,0.9999995700189925,0.07886296549999999,0.6746192341692544
5000,1.0,0.0,0.9999996165188891,0.9999996141977363,0.090672154,0.6399999999999999
5500,0.95,0.05,0.951334109201595,0.9398415155047264,0.1046622645,0.610216057117179
6000,0.95,0.05,0.9516145103911859,0.9426218045788655,0.107210048,0.5842373946721773
6500,0.6,0.4,0.6066116087543096,0.3359499576056341,0.12950338549999998,0.5613171323564988
7000,0.85,0.15,0.8496187026370168,0.7856524508699043,0.130414155,0.48680885072362556
7500,1.0,0.0,0.9999992680092313,0.9999992632871153,0.1395725385,0.339662577665934
8000,1.0,0.0,0.9999989613143387,0.9999989501308897,0.14563230049999998,0.2529822128134703
8500,1.0,0.0,0.999999064831653,0.9999990577894466,0.154138102,0.2454287964311586
9000,1.0,0.0,0.9999991523358743,0.9999991479051471,0.1734157805,0.2385139175999776
9500,1.0,0.0,0.9999992138864804,0.9999992070283112,0.1836377315,0.2321524000352037
10000,1.0,0.0,0.9999992388846816,0.9999992347260269,0.21953298599999999,0.22627416997969524
