"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,0.9800000000000001,0.02,0.9954030230383344,0.9960847831541976,0.0744144006,1.7119999999999997
1000,1.0,0.0,0.9999987163628006,0.9999986834534097,0.09184186759999999,1.1087434329005064
1500,0.9800000000000001,0.02,0.9984335166876536,0.9983422611628491,0.1298541452,0.6789639165669998
2000,0.96,0.04,0.9991647983612957,0.9992196868712577,0.1619462518,0.5539999999999999
2500,1.0,0.0,0.9999993939110758,0.9999993885485445,0.1776518532,0.6761869563959364
3000,0.9199999999999999,0.08,0.9985391680587092,0.9985443160937294,0.19784560200000004,0.4066152973020076
3500,1.0,0.0,0.9999991235590631,0.9999991140195681,0.2308745,0.3930830519295963
4000,1.0,0.0,0.9999991292424507,0.9999991239276843,0.29231462820000004,0.3450681092190352
4500,1.0,0.0,0.9999989801836833,0.9999989717849637,0.3481207034,0.27199999999999996
5000,1.0,0.0,0.9999990241923639,0.9999990187281229,0.40191932799999996,0.2529822128134703
5500,0.9800000000000001,0.02,0.9997665798868592,0.999742211538251,0.5066025694,0.08924735799501801
6000,1.0,0.0,0.9999991046762018,0.9999991011367613,0.5534113893999999,0.21477430013854076
6500,1.0,0.0,0.9999990972890602,0.9999990935850592,0.5994261291999999,0.21300487535048798
7000,1.0,0.0,0.999999286813815,0.9999992822009137,0.6475326612,0.21380899352993948
7500,0.8600000000000001,0.14,0.9996594354597631,0.9996688997354839,0.6911708458,0.10637794257583036
8000,0.9,0.1,0.9999993652515183,0.999999360946266,0.7381454460000001,0.19999999999999998
8500,0.96,0.04,0.9997685966057841,0.9997621672139514,0.792114455,0.0742159012611179
9000,1.0,0.0,0.9999994699354777,0.9999994681179727,0.8544444338000001,0.18856180831641267
9500,1.0,0.0,0.9999991464690158,0.9999991423904149,0.9179780874000001,0.14315541793523057
10000,1.0,0.0,0.9999995043577092,0.9999995027294272,0.9738509345999999,0.17709658381798332
