"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
100,0.44000000000000006,0.5599999999999999,0.8760298801973093,0.7398370906733728,0.08516409580000002,13.566224419491224
120,0.48,0.52,0.8670081502114965,0.696152401299777,0.07904492179999999,5.862445451061072
140,0.48,0.52,0.909546145879727,0.8184435554124481,0.09098302559999999,5.093071273799336
160,0.8200000000000001,0.18000000000000002,0.9707918593152218,0.9571009703158959,0.0983608978,4.380526509450662
180,0.86,0.13999999999999999,0.9799594672109497,0.976938472010352,0.09980922680000001,0.29000000000000004
200,0.7,0.3,0.9710261130878134,0.9669954359243373,0.10239154259999998,2.458670880780915
220,0.74,0.26,0.9799913502644433,0.9790393897204275,0.0970279326,5.963894395748165
240,0.9,0.1,0.9836524236360059,0.9786384025587369,0.109619858,0.32620290209213854
260,0.6399999999999999,0.36000000000000004,0.9664415000643182,0.9566343961136436,0.1144984016,10.363186415977843
280,0.74,0.26,0.9873277375707555,0.9830031837751836,0.1215368598,9.473074719585885
300,0.74,0.26,0.9935394261569839,0.9931636301128428,0.1258543188,10.837898397137087
320,0.82,0.18,0.9966378381752368,0.9964132132267167,0.1267676452,4.275
340,0.7799999999999999,0.21999999999999997,0.9572111337380118,0.9488757712282243,0.1306387948,2.4180801816122397
360,0.9200000000000002,0.08,0.974982633871394,0.9727045135706414,0.13136076619999998,20.639268431533345
380,0.7799999999999999,0.21999999999999997,0.9851365958449649,0.9828762276747142,0.1459445002,12.017943218809377
400,0.9,0.1,0.986017708241641,0.9851679980554321,0.1465525758,10.387653789475275
420,0.8800000000000001,0.12000000000000002,0.9856997642119918,0.9858095029529388,0.1388299744,11.627740281224856
440,0.8400000000000001,0.16,0.9828693253856585,0.9786668493226985,0.147438184,2.435818184362849
460,0.7,0.3,0.9872312385216917,0.9864696971040733,0.1482106204,1.3344922499652785
480,0.8800000000000001,0.12,0.9938165372023727,0.9939732597506119,0.1551579866,16.289106789508136
500,0.9,0.1,0.9975161942895809,0.9974338936433659,0.158072967,24.067999999999998
