"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
100,1.0,0.0,0.9999999973469464,0.9999999972653892,0.0313703396,0.0030881617775081827
200,1.0,0.0,0.9999999997164896,0.9999999997113459,0.058670354,0.0030881617775081827
300,1.0,0.0,0.9999999998112348,0.9999999998045503,0.0601931522,0.0030881617775081827
400,1.0,0.0,0.9999999999085455,0.999999999907186,0.042179660199999996,0.0030881617775081827
500,1.0,0.0,0.999999999939237,0.9999999999387338,0.027120376999999994,0.0030881617775081827
600,1.0,0.0,0.9999999999503018,0.9999999999501246,0.070963234,0.0030881617775081827
700,1.0,0.0,0.9999999999640098,0.9999999999631225,0.06999853040000001,0.0030881617775081827
800,1.0,0.0,0.999999999979304,0.999999999979131,0.043554984799999995,0.0030881617775081827
900,1.0,0.0,0.9999999999795641,0.9999999999792172,0.052516074,0.0030881617775081827
1000,1.0,0.0,0.9999999999848145,0.9999999999847724,0.0729485094,0.0030881617775081827
