"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
100,1.0,0.0,0.999999999997528,0.9999999999974449,0.0217337714,9.460511226604658e-5
200,1.0,0.0,0.9999999997392415,0.9999999997344725,0.063711188,0.0029684955086297406
300,1.0,0.0,0.9999999998400106,0.9999999998339211,0.07540770399999999,0.0028450293531891305
400,1.0,0.0,0.9999999999254066,0.9999999999242977,0.0644993186,0.002788996105312078
500,1.0,0.0,0.9999999999530846,0.9999999999527134,0.0794667318,0.00272156319774852
600,1.0,0.0,0.9999999999570972,0.9999999999570474,0.07167374600000001,0.0028450293531891305
700,1.0,0.0,0.9999999999713639,0.9999999999707889,0.063870112,0.0027234631410296044
800,1.0,0.0,0.999999999982409,0.9999999999822933,0.07828891140000001,0.0028450293531891305
900,1.0,0.0,0.9999999999824831,0.9999999999821604,0.0651110942,0.0028450293531891305
1000,1.0,0.0,0.9999999999865598,0.9999999999865039,0.0953356158,0.002904862487628351
