"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,1.0,0.0,0.9999996429528487,0.9999996281752015,0.140012821,51.199999999999996
1000,0.86,0.13999999999999999,0.7978963928091607,0.43462744234257966,0.1921530618,2.0463670247538683
1500,1.0,0.0,0.9999999004205641,0.9999998988238751,0.245314243,29.56033378250884
2000,0.8,0.2,0.7567489405251743,0.5234683123374995,0.310861718,12.924000000000001
2500,0.8,0.2,0.7513374301142843,0.5196269428529592,0.3789114572,11.083741750870956
3000,0.8,0.2,0.7610201585680704,0.5333037274813852,0.45675655179999997,11.463611996225273
3500,1.0,0.0,0.9999999476507039,0.9999999474131975,0.5711570815999999,19.351781018072437
4000,1.0,0.0,0.9999999574625825,0.9999999572558412,0.641988908,18.101933598375613
4500,1.0,0.0,0.9999999621300262,0.9999999620136435,0.7422390176,17.066666666666666
5000,0.76,0.24,0.661603648281128,0.03391893652280653,0.8506781284,2.7954534515888474
5500,1.0,0.0,0.9999999683557522,0.999999968247234,0.9305333266,15.437380842381495
6000,1.0,0.0,0.9999999734365339,0.9999999733441669,1.03486436,14.78016689125442
6500,0.7000000000000001,0.3,0.5594050780153562,-0.19351277407149517,1.1087971178,2.604872121473676
7000,0.8,0.2,0.7637511659965238,0.5478025645363462,1.1965653572,8.385588726244226
7500,1.0,0.0,0.9999999779808885,0.9999999779250832,1.2810746182,13.219783155054646
8000,0.86,0.13999999999999999,0.8228607866786763,0.743192736876014,1.3465855436,2.8150000000000004
8500,0.8400000000000001,0.16,0.7867660914839387,0.6752161535263241,1.4278844341999999,6.765773796013545
9000,1.0,0.0,0.9999999839891291,0.9999999839470712,1.5225795690000001,12.067955732250411
9500,1.0,0.0,0.999999981333613,0.9999999812818258,1.6200974072,11.746085574172763
10000,0.9,0.1,0.8897718524939714,0.8488754177101662,1.6919844402,7.993495805966248
