"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
100,0.1,0.9,0.6125473023458607,-1.8636898926692627,0.08653986100000001,55.526040017274774
120,0.04,0.96,0.25259411276708077,-15.278761552233874,0.0770471932,24.38467038940654
140,0.04,0.96,0.2248792221217562,-16.591670862574556,0.0869591246,14.716046756614258
160,0.12,0.8800000000000001,0.20251297495685366,-17.223122076423017,0.09035030560000001,12.780955069946845
180,0.02,0.9800000000000001,0.17992587693028125,-21.691651604407113,0.0927908046,16.849999999999998
200,0.31999999999999995,0.68,0.1718530410168697,-16.827461202979364,0.0933523104,20.727148923573644
220,0.1,0.9,0.14365221199000994,-29.959148241239937,0.0901089754,6.446312547072585
240,0.6,0.4,0.4495994718287227,-1.247558756980382,0.108618383,41.40756130627996
260,0.30000000000000004,0.7,0.1511855779955979,-19.86173916682112,0.10243206280000001,20.60849904025783
280,0.6199999999999999,0.38,0.274672768428886,-7.8856271232356345,0.100800798,35.791625516911864
300,0.7,0.3,0.46963170044372704,-0.5261610687386857,0.1126353602,29.55344492046006
320,0.74,0.26,0.42520972048356764,-0.6753274011069186,0.11508846079999999,32.58
340,0.76,0.24,0.3900699491449492,-0.9517380184972826,0.1255069628,33.63969119253939
360,0.06000000000000001,0.9400000000000001,0.1301586927986529,-26.697851256438184,0.1273130606,23.877817489367736
380,0.5,0.5,0.1556935021102756,-19.23541037591216,0.1295453534,15.004936073804089
400,0.08,0.9199999999999999,0.11984722163382686,-26.694811884911207,0.1304533586,21.02239309046427
420,0.15999999999999998,0.8400000000000001,0.1212534838351644,-26.765678733168215,0.13256302020000002,19.805455717818667
440,0.22000000000000003,0.78,0.12251946479801983,-30.316555537315935,0.1268809182,16.22777252540729
460,0.22000000000000003,0.78,0.12391055106680586,-20.474083639676714,0.1433765608,26.701313292078716
480,0.42000000000000004,0.58,0.1567490446557812,-23.919222743307046,0.1339474276,9.979629460389132
500,0.56,0.43999999999999995,0.20255905721754308,-12.979734997277827,0.1309699654,14.738
