"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
100,1.0,0.0,0.9952730733307378,0.9939477420688732,300.0209287248,41.733972732056074
120,0.96,0.04,0.9576670608324399,0.9448579644957343,300.0750633968,35.08485808246439
140,1.0,0.0,0.9977057178342073,0.9972587159935262,300.0512671664,51.11591532976788
160,1.0,0.0,0.9978183060702026,0.9971437828219548,300.0413237752,61.99912257443649
180,1.0,0.0,0.9978005488687609,0.9975989914245293,300.0391852816,62.61333333333333
200,1.0,0.0,0.9950860665430594,0.9942219406585192,300.03112102,56.3138405722785
220,1.0,0.0,0.9947409181280434,0.9937124774682367,300.02307910999997,54.60973472992456
240,1.0,0.0,0.9976767632037392,0.9973311628658046,300.0551349744,54.68661749764135
260,1.0,0.0,0.9947292599777231,0.9943532599442209,300.0356100186,46.794508553560334
280,1.0,0.0,0.9975919347692098,0.9973474869692426,300.025412654,46.86693138176274
300,1.0,0.0,0.994945987345133,0.9945404394742419,300.05390283860004,47.01285384516309
