"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,0.74,0.26,0.9817631331958477,0.9828282441100751,0.0846190656,1.056
1000,0.8200000000000001,0.18000000000000002,0.9853153151323832,0.9870749754428806,0.09797211260000001,0.4186072144624361
1500,0.86,0.13999999999999999,0.9987698184843075,0.9987078948192977,0.13122170719999998,0.4110733916630135
2000,0.86,0.13999999999999999,0.9925495476820817,0.993459162571153,0.16098052699999998,0.34199999999999997
2500,0.8800000000000001,0.12,0.9991205832123609,0.9990849409059088,0.1831827372,0.223606797749979
3000,0.8,0.2,0.9981594383472064,0.9981043476116911,0.19640071420000002,0.16329931618554516
3500,0.96,0.04,0.9986934198165347,0.9986309961463338,0.23386921099999997,0.13455535239128485
4000,0.9400000000000001,0.06000000000000001,0.9891515753253112,0.9893616357718121,0.2894417656,0.12232947314527269
4500,0.86,0.13999999999999999,0.9994434705769043,0.9994285155062519,0.3576699694,0.12666666666666665
5000,0.96,0.04,0.9989399635887727,0.9989331092032124,0.4066304155999999,0.09992797406132076
5500,0.9800000000000001,0.02,0.996334152790635,0.996317628115797,0.49123970559999997,0.11336826556123909
6000,0.96,0.04,0.9958843152791139,0.9959757853558886,0.5429411148000001,0.07851963660978908
6500,0.9399999999999998,0.06000000000000001,0.9904749108534281,0.9902466651666476,0.6005940834,0.10317423649789262
7000,0.9800000000000001,0.02,0.9994858309127291,0.999481080625593,0.654742662,0.06200460812368245
7500,0.76,0.24,0.9990313398761004,0.9990444223128426,0.7046187475999999,0.06816450689325053
8000,0.9,0.1,0.999775999645586,0.9997739788667774,0.7512744092,0.095
8500,0.8600000000000001,0.14,0.9977044718262256,0.9977174058125982,0.792929303,0.04899219625733926
9000,0.9800000000000001,0.02,0.9981706137067796,0.9982518787797232,0.8422657187999999,0.06599663291074445
9500,0.9800000000000001,0.02,0.9985117850947844,0.9985477160316106,0.899962132,0.06377757401601616
10000,0.8400000000000001,0.15999999999999998,0.9971148787189396,0.997252359405015,0.9514459836,0.061268262583494236
