"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,0.7799999999999999,0.21999999999999997,0.9172015937014402,0.9299678968257435,0.1379651684,9.482000000000001
1000,0.9199999999999999,0.08,0.931778321542869,0.9361137613814066,0.19571473620000002,3.896865471119063
1500,0.9,0.1,0.9990688443721665,0.9990421301133328,0.246109976,17.038761144324233
2000,0.8400000000000001,0.16,0.8744459899619184,0.8870403356678281,0.3132684932,11.28
2500,0.86,0.13999999999999999,0.9268383324277776,0.9315653575458624,0.3813181606,1.4400277775098647
3000,0.9,0.1,0.9981963362795735,0.9981963487714844,0.44715248059999996,0.07675067860720623
3500,0.76,0.24,0.9689984081180197,0.9706840288198813,0.5476329910000001,9.035618691758586
4000,0.86,0.13999999999999999,0.9851339242372508,0.9855701515622843,0.6379370032,0.427446049227268
4500,0.9199999999999999,0.08,0.9692353732234699,0.9694868847163169,0.7570382233999999,0.02433333333333333
5000,0.8,0.2,0.8805176094809223,0.8897332544855846,0.8524408706,1.2098874327804219
5500,0.8400000000000001,0.16,0.96039733782413,0.9624614922142047,0.9304926994,0.03799042941679821
6000,0.7799999999999999,0.21999999999999997,0.9496418495958299,0.9545339949106266,1.0409700164,5.410060697441389
6500,0.8,0.2,0.9603432267972796,0.9599342595053489,1.1057087376,0.3109094599842409
7000,0.7999999999999999,0.20000000000000004,0.9642444933910082,0.9662761173823415,1.1925231506,0.022984466804468494
7500,0.8,0.2,0.9189190807296586,0.9217887593097721,1.2683349042,0.8458595628116999
8000,0.8,0.2,0.9368672623007086,0.9400670883433303,1.3467956537999999,0.35700000000000004
8500,0.76,0.24,0.9156297689004684,0.9274416713078434,1.4328051908,6.9442800160402856
9000,0.76,0.24,0.9730874481652597,0.9743336525397529,1.526374862,2.6330299508783073
9500,0.8800000000000001,0.12000000000000002,0.9939898918796894,0.9938455464875444,1.605154164,0.02294157338705618
10000,0.8800000000000001,0.12,0.9737082411200685,0.9762582410311833,1.6994601297999998,7.483001486703046
