"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
100,0.5199999999999999,0.48,0.8176745077539728,0.6863900271076236,0.0763439922,28.219177876047343
120,0.44000000000000006,0.56,0.8890378481023905,0.75980792421564,0.0692086418,47.793627364604454
140,0.7799999999999999,0.21999999999999997,0.8742010858434283,0.8299493816953157,0.0723469978,29.127832112456094
160,0.7200000000000001,0.28,0.8973857338336206,0.8477296868443286,0.0746176966,20.969251596087066
180,0.72,0.28,0.8972038297981726,0.8495013978171123,0.08365168120000002,30.603333333333335
200,0.6599999999999999,0.33999999999999997,0.8573805702537713,0.8200832595713505,0.0890584584,29.290596827309617
220,0.6,0.4,0.9551962253829094,0.9454937382648856,0.09035174119999999,40.10100882884256
240,0.68,0.32,0.9335393452694174,0.914556976045944,0.092183337,39.883356595619354
260,0.76,0.24000000000000005,0.8434985600736183,0.8204338652982409,0.0977326654,29.876152568690845
280,0.8,0.2,0.9265139206431081,0.9048044599681745,0.0924414942,34.759997123129914
300,0.9,0.1,0.9219539408939902,0.912403615407851,0.1010371288,21.678378783171645
320,0.7600000000000001,0.24000000000000005,0.9290726722121502,0.9207936888501062,0.09572101159999999,30.3425
340,0.6599999999999999,0.34,0.918192836004246,0.8972950099133209,0.1079027462,21.069069746906248
360,0.8,0.2,0.9423275979592549,0.9328643131491583,0.10977925339999998,30.261813212180282
380,0.8,0.2,0.9396080345342789,0.9338377792278854,0.1003010536,35.600733582033776
400,0.62,0.38,0.9034332732766274,0.8989763695563037,0.1123669898,13.747345925668705
420,0.9,0.1,0.9362886611832575,0.9278620631132704,0.1151409028,29.426682498323572
440,0.78,0.22000000000000003,0.9499155736971707,0.9465796890860709,0.1111903142,35.59599160273272
460,0.9,0.1,0.9376204735589452,0.9317880036420598,0.1265962774,24.863258732165594
480,0.8400000000000001,0.16,0.9400116055764187,0.9317506706130118,0.123065954,29.01828848617139
500,0.96,0.04,0.9436524822619596,0.9392949603100128,0.12338842759999999,30.683999999999997
