"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,0.95,0.05,0.9516618864720812,0.9481196927961609,0.012554760000000002,3.8453296347647488
1000,0.75,0.25,0.7659559467105764,0.4335818219914136,0.019622841000000002,2.719058660639744
1500,0.7,0.3,0.6861115550756276,0.2137721259205405,0.027469498000000002,1.9864071418854023
2000,1.0,0.0,0.9999990776088192,0.9999990582338301,0.0414858645,1.0119288512538813
2500,1.0,0.0,0.9999992640559124,0.9999992539551059,0.0487827785,0.9050966799187808
3000,1.0,0.0,0.9999993324470502,0.9999993227410093,0.0603915775,0.8262364471909155
3500,1.0,0.0,0.9999994705108692,0.9999994640541372,0.102544247,0.7649463099740119
4000,1.0,0.0,0.9999994986195395,0.9999994939768537,0.109314208,0.7155417527999327
4500,1.0,0.0,0.9999995635833394,0.9999995592650675,0.100994571,0.6746192341692543
5000,1.0,0.0,0.999999626762978,0.9999996240454436,0.1190064715,0.64
5500,1.0,0.0,0.9999996412304272,0.9999996392609718,0.1368021225,0.6102160571171791
6000,0.85,0.15,0.8563347925329986,0.7916900546761079,0.1542168715,0.5842373946721772
6500,0.6499999999999999,0.35,0.6554497518849669,0.4618129228167505,0.1470548875,0.5613171323564987
7000,0.6499999999999999,0.35,0.6471876733030815,0.43007282713040856,0.1400147035,0.5408987230262506
7500,0.75,0.25,0.7537049334730496,0.6504846087219208,0.14522824299999998,0.5225578117937446
8000,0.6499999999999999,0.35,0.6473243503520559,0.4342436732655938,0.1843253215,0.5059644256269407
8500,0.6499999999999999,0.35,0.6561617255453864,0.4292296333807712,0.2078242655,0.4908575928623171
9000,0.75,0.25,0.751264323468419,0.507090269493645,0.205098522,0.40547365991996187
9500,1.0,0.0,0.9999994848646618,0.9999994812879505,0.2204528725,0.3017981200457648
10000,1.0,0.0,0.9999992123891335,0.9999992097941777,0.253297277,0.2262741699796952
