"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,1.0,0.0,0.9999999959016352,0.999999995435222,0.0238851325,64.7634464802484
1000,1.0,0.0,0.9999999978637251,0.9999999977581028,0.0395474485,45.79467217919569
1500,1.0,0.0,0.9999999986589916,0.9999999986185125,0.0411970445,37.39119325901934
2000,1.0,0.0,0.9999999989517184,0.9999999989321795,0.06261188599999999,32.3817232401242
2500,1.0,0.0,0.9999999992608638,0.999999999249685,0.074437484,28.963093757400987
3000,1.0,0.0,0.9999999993516793,0.9999999993460917,0.0604862105,26.439566310109296
3500,1.0,0.0,0.9999999994677055,0.9999999994637478,0.09460350449999999,24.47828191916838
4000,1.0,0.0,0.9999999995346374,0.999999999530591,0.07310916449999999,22.897336089597847
4500,1.0,0.0,0.9999999995728712,0.9999999995715365,0.08593761050000001,21.587815493416137
5000,1.0,0.0,0.9999999995989475,0.9999999995975493,0.0841620215,20.48
5500,1.0,0.0,0.9999999996733908,0.9999999996696302,0.11957481349999999,19.52691382774973
6000,1.0,0.0,0.99999999969215,0.9999999996907724,0.0960147865,18.69559662950967
6500,1.0,0.0,0.99999999970064,0.9999999996989613,0.12084259750000001,17.96214823540796
7000,1.0,0.0,0.999999999727782,0.999999999726887,0.10939954099999999,17.30875913684002
7500,1.0,0.0,0.9999999997522808,0.9999999997515225,0.114237286,16.721849977399827
8000,1.0,0.0,0.9999999997467411,0.9999999997451564,0.119682939,16.1908616200621
8500,1.0,0.0,0.9999999997689725,0.9999999997679039,0.125590997,15.707442971594148
9000,1.0,0.0,0.9999999997906879,0.9999999997905051,0.150099902,15.264890726398566
9500,1.0,0.0,0.9999999997942339,0.9999999997935551,0.1639979335,14.857753602253037
10000,1.0,0.0,0.9999999997973603,0.9999999997971274,0.142797701,14.481546878700494
