"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,1.0,0.0,0.9999993862514709,0.9999993599209497,0.0520150525,64.7634464802484
1000,1.0,0.0,0.9999997255791064,0.9999997134579365,0.0536806935,45.79467217919569
1500,1.0,0.0,0.999999822966509,0.9999998207026188,0.061217560500000004,37.39119325901934
2000,1.0,0.0,0.9999998660830389,0.99999986398811,0.058450062,32.3817232401242
2500,1.0,0.0,0.9999999019065657,0.9999999012971086,0.078647627,28.963093757400987
3000,1.0,0.0,0.9999999060307583,0.9999999056592465,0.07277457700000001,26.439566310109296
3500,1.0,0.0,0.9999999184156156,0.9999999172791462,0.077501279,24.47828191916838
4000,1.0,0.0,0.9999999396883789,0.9999999393157415,0.09535162999999999,22.897336089597847
4500,1.0,0.0,0.9999999424710853,0.9999999423202565,0.182997366,21.587815493416137
5000,1.0,0.0,0.9999999516682989,0.9999999512061697,0.179926825,20.48
5500,1.0,0.0,0.9999999583637351,0.9999999580066519,0.221553636,19.52691382774973
6000,1.0,0.0,0.9999999615666837,0.9999999612944368,0.2023199,18.69559662950967
6500,1.0,0.0,0.9999999723638433,0.9999999723166697,0.20149592249999998,17.96214823540796
7000,1.0,0.0,0.9999999632502974,0.9999999631178722,0.253234189,17.30875913684002
7500,1.0,0.0,0.999999963445418,0.9999999633721623,0.183325572,16.721849977399827
8000,1.0,0.0,0.9999999666096593,0.9999999664779757,0.19704618950000002,16.1908616200621
8500,1.0,0.0,0.9999999729906468,0.99999997293221,0.1856806265,15.707442971594148
9000,1.0,0.0,0.9999999704009919,0.9999999703791747,0.21304528150000002,15.264890726398566
9500,1.0,0.0,0.9999999722746786,0.999999972143143,0.233573786,14.857753602253037
10000,1.0,0.0,0.9999999827826308,0.9999999827394137,0.24481080249999998,14.481546878700494
