"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,1.0,0.0,0.9966512626167254,0.9959688938540058,0.025466352,13.395408168473253
1000,1.0,0.0,0.9999997578441091,0.9999997492668173,0.034512781,45.79467217919569
1500,0.7,0.3,0.604345278283092,-0.21965370943681983,0.060015236,2.074042751086229
2000,1.0,0.0,0.9999998374926452,0.9999998348464583,0.0701193975,32.3817232401242
2500,1.0,0.0,0.9999998926717986,0.9999998910497829,0.0837924255,28.963093757400987
3000,1.0,0.0,0.9999999023975747,0.9999999015445202,0.0909101015,26.439566310109296
3500,1.0,0.0,0.9999999286731248,0.9999999279376031,0.126916946,24.47828191916838
4000,1.0,0.0,0.9999999338200898,0.9999999334907694,0.15796752749999998,22.897336089597847
4500,1.0,0.0,0.9999863877696654,0.9999865657743067,0.1593629465,7.100367439631401
5000,1.0,0.0,0.9999332086026829,0.9999315062845183,0.186760786,2.608
5500,0.95,0.05,0.9444904407912884,0.9332745290644087,0.1556332595,10.114331146717241
6000,1.0,0.0,0.9999998573780301,0.9999998561368105,0.1885166845,13.29140072879203
6500,1.0,0.0,0.9999999550785914,0.9999999549755012,0.1746961455,17.96214823540796
7000,1.0,0.0,0.9999999597796791,0.9999999596703031,0.203400607,17.30875913684002
7500,1.0,0.0,0.9999999643453925,0.9999999642261139,0.198220982,16.721849977399827
8000,1.0,0.0,0.9999999033757501,0.9999999022585437,0.2390498895,11.396848687246838
8500,0.9,0.1,0.8889365474598996,0.8476303979101547,0.2498974355,13.547669562999953
9000,1.0,0.0,0.9999999317631247,0.9999999291249924,0.24791069999999998,11.28170830247894
9500,1.0,0.0,0.9999999752808948,0.9999999752082669,0.2456107115,14.857753602253037
10000,1.0,0.0,0.9999999724248965,0.9999999723742294,0.254971488,14.481546878700494
