"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,1.0,0.0,0.9999998260417328,0.9999998022486103,300.02459070500004,61.525274156235966
1000,1.0,0.0,0.9999999387489613,0.9999999371753918,300.02835946749997,45.79467217919569
1500,1.0,0.0,0.9999999460384614,0.9999999453923778,300.03496906099997,37.391193259019346
2000,1.0,0.0,0.9999999772950487,0.9999999769249339,300.2277647665,32.381723240124195
2500,1.0,0.0,0.9999999868102765,0.9999999866867393,300.172708296,28.96309375740099
3000,1.0,0.0,0.9999999783274643,0.9999999781510369,300.20224729849997,26.439566310109292
3500,1.0,0.0,0.9999999687767727,0.9999999683930325,300.1897927205,24.47828191916838
4000,1.0,0.0,0.9999999857616078,0.999999985608694,300.197982196,22.897336089597847
4500,1.0,0.0,0.9999999785720133,0.9999999783144851,300.16727600950003,21.58781549341614
5000,1.0,0.0,0.9999999847445691,0.9999999846532494,300.26645272200005,20.479999999999997
5500,1.0,0.0,0.9999999832560488,0.9999999830879107,300.2222428565,19.526913827749727
6000,1.0,0.0,0.9999999931769067,0.9999999931336079,300.25875284,18.695596629509673
6500,1.0,0.0,0.9999999913382731,0.9999999912900421,300.226323901,17.962148235407962
7000,1.0,0.0,0.9999999867519065,0.9999999866909149,300.2494349405,17.30875913684002
7500,1.0,0.0,0.9999999921384917,0.9999999920993953,300.304566537,16.721849977399824
8000,1.0,0.0,0.9999999915078648,0.9999999914952225,300.17738284300003,16.190861620062098
8500,1.0,0.0,0.9999999923153841,0.9999999922659892,300.20951573900004,15.707442971594151
9000,1.0,0.0,0.999999991595877,0.9999999915596731,300.2141589255,15.264890726398566
9500,1.0,0.0,0.9999999890400831,0.9999999890171196,300.20763975750003,14.857753602253037
10000,0.9,0.1,0.99999998210131,0.9999999819875349,300.2530160575,14.481546878700495
