"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
500,0.9,0.1,0.9949706143559693,0.9943065729862421,0.011670612,1.568489719443516
1000,0.8,0.2,0.9945285219988255,0.9944348783220147,0.014129415499999999,0.8049844718999243
1500,0.9,0.1,0.9996386169319358,0.9996315923025498,0.020261018,0.5404195900717639
2000,0.9,0.1,0.999840259420049,0.9998347318779246,0.033979083,0.4806662043455935
2500,0.9,0.1,0.9988865095497839,0.9988715357573907,0.044482561000000004,0.401636651713959
3000,0.8500000000000001,0.15000000000000002,0.9830311346694194,0.9855924419134806,0.053847714,0.37438839013338354
3500,1.0,0.0,0.9999594952855518,0.9999588781260651,0.057656534499999995,0.3394449250509678
4000,1.0,0.0,0.9993496806876865,0.9993303326008046,0.0673697675,0.1296919426949878
4500,1.0,0.0,0.9996512889630675,0.9996432843859324,0.074660116,0.13070747662029303
5000,0.95,0.05,0.9964016889623455,0.9964219765311877,0.091556848,0.15199999999999997
5500,0.95,0.05,0.9952438705740394,0.9948481040440253,0.10451293049999999,0.12776398695890934
6000,0.8500000000000001,0.15000000000000002,0.9973687715185622,0.9973043337733243,0.1092719065,0.12415044636783766
6500,1.0,0.0,0.9998249190069123,0.999819334494048,0.12007715,0.1227881227029841
7000,1.0,0.0,0.9998908877028023,0.9998901540883379,0.1443493825,0.11663128715253529
7500,1.0,0.0,0.9998547243649489,0.9998526909593034,0.1447202545,0.12410748030101434
8000,1.0,0.0,0.9997975306223563,0.9997926914014825,0.162004998,0.10119288512538811
8500,0.95,0.05,0.9995413348640629,0.999534963426993,0.161821021,0.10737509843863188
9000,0.9,0.1,0.9996848461939436,0.9996858247347146,0.19676685100000002,0.11329411085998935
9500,0.9,0.1,0.9924218333478184,0.9925127512711023,0.178215782,0.07690048251166123
10000,1.0,0.0,0.9999388169051173,0.9999381575849817,0.191031465,0.11030865786510144
