"nrange","accuracy","false_detection","train_r2","test_r2","time","gamma"
100,0.0,1.0,-0.20910918362257058,-0.3908074048104332,0.0083694145,31.869302628077698
120,0.45,0.55,0.8256737415650598,0.7374974616644341,0.009945164499999999,4.395836097945418
140,0.45,0.55,0.9081611361464309,0.8832121733769456,0.010234167,3.6215426862832127
160,0.6,0.4,0.8426183751241332,0.7371159523881033,0.0104438535,2.269608997162287
180,0.6,0.4,0.8679957079565972,0.8305594364632358,0.010703135499999999,1.813039191829871
200,0.5,0.5,0.6610402545706098,0.615788233174144,0.0140927665,1.7400000000000002
220,0.6,0.4,0.950689905478286,0.9021034649243023,0.010991956,1.668559531179787
240,0.6000000000000001,0.4,0.8670667905698841,0.8394413699875269,0.0109104525,1.570137998181476
260,0.6,0.4,0.9136161534168639,0.899435758393818,0.010834782500000001,1.8242806801586207
280,0.7,0.3,0.9130481774593807,0.8837789053716154,0.0115478995,1.910048615686447
300,0.8,0.2,0.9806595525161581,0.9794698695609114,0.0116660535,1.730972751566779
320,0.75,0.25,0.9343319745930707,0.9273670416717938,0.011586007499999999,1.3518736997219822
340,0.7,0.30000000000000004,0.9698203764038572,0.9683178518641108,0.012073028,1.4879120783638986
360,0.75,0.25,0.9655264930767626,0.9657191467564443,0.012069563,1.371455026199871
380,0.75,0.25,0.9770632872724848,0.9760456554122032,0.012651580499999999,1.7846715752706288
400,0.7,0.3,0.9701260163163127,0.9578874698069517,0.011760686,1.0748023074035522
420,0.8,0.2,0.9833710210376228,0.9801971691809738,0.011809186999999999,1.5043429193663322
440,0.8,0.2,0.9944626286527234,0.9942148003958551,0.012702817,1.7259516479058998
460,0.8500000000000001,0.15000000000000002,0.9844618864353403,0.9836392182072864,0.011852036,1.0813839763690907
480,0.7,0.3,0.9797308356487271,0.9807752523075154,0.0121676605,1.420093893609386
500,0.9,0.1,0.9827636904620245,0.9835221083253802,0.012343432,1.0751744044572487
